source_name,provider,source_url,accessed_at,period,license,modified,included_fields,redistribution,note
청년 고용률,KOSIS(통계청 국가통계포털),https://kosis.kr/statHtml/statHtml.do?conn_path=I2&orgId=101&tblId=DT_1B04006,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,청년 고용률,"링크만 제공, 원문 재배포 안 함",찾는 방법: KOSIS → 주민등록인구현황 ‘행정구역/1세별 주민등록인구’ + 경제활동인구조사 ‘행정구역별·연령별 취업자’ / 보조 출처: 경제활동인구조사 https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7031S&conn_path=I2
청년층 정규직 근로자 비율,마이크로데이터 통합서비스(MDIS),https://mdis.mods.go.kr/ofrData/selectOrgOfrData.do?curMenuNo=UI_POR_P9220,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,청년층 정규직 근로자 비율,"링크만 제공, 원문 재배포 안 함",찾는 방법: MDIS → 지역별고용조사 연도별 원자료·코드북 다운로드. 또는 KOSIS 지역별고용조사에서 상용근로자 등 대체지표 사용 / 보조 출처: KOSIS 지역별고용조사 https://kosis.kr/statHtml/statHtml.do?conn_path=I2&orgId=101&tblId=DT_1ES3A02S
주택가격,마이크로데이터 통합서비스(MDIS),https://mdis.mods.go.kr/ofrData/selectOrgOfrData.do?curMenuNo=UI_POR_P9220,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,주택가격,"링크만 제공, 원문 재배포 안 함",찾는 방법: MDIS → 주거실태조사 → 연도 선택 → 자료·레이아웃·코드북 다운로드 / 보조 출처: 국토교통 통계누리 https://stat.molit.go.kr/
자가점유비율,마이크로데이터 통합서비스(MDIS),https://mdis.mods.go.kr/ofrData/selectOrgOfrData.do?curMenuNo=UI_POR_P9220,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,자가점유비율,"링크만 제공, 원문 재배포 안 함",찾는 방법: MDIS → 주거실태조사 → 연도별 원자료·코드북 다운로드 / 보조 출처: 국토교통 통계누리 https://stat.molit.go.kr/
주거비,마이크로데이터 통합서비스(MDIS),https://mdis.mods.go.kr/ofrData/selectOrgOfrData.do?curMenuNo=UI_POR_P9220,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,주거비,"링크만 제공, 원문 재배포 안 함",찾는 방법: 보증금·월세: MDIS 주거실태조사 / 전월세전환율: KOSIS 전국주택가격동향조사 ‘지역별 전월세전환율’ / 보조 출처: 지역별 전월세전환율 https://kosis.kr/statHtml/statHtml.do?tblId=INH_1K41005_01&orgId=101
소득 만족도,KOSIS(통계청 국가통계포털),https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1SSIC050R&conn_path=I2,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,소득 만족도,"링크만 제공, 원문 재배포 안 함",찾는 방법: KOSIS → 사회조사 → 소득과 소비 → ‘소득 만족도(시도)’ / 보조 출처: 사회조사 MDIS https://mdis.mods.go.kr/ofrData/selectOrgOfrData.do?curMenuNo=UI_POR_P9220
소득 수준,KOSIS(통계청 국가통계포털),http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=INH_1C96_04&tmprScrId=20260721120610036_ceed1f44c26d41c3,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,소득 수준,"링크만 제공, 원문 재배포 안 함",찾는 방법: KOSIS → 지역소득 → ‘1인당 가계총처분가능소득’
보육시설 보급률,KOSIS(통계청 국가통계포털),https://kosis.kr/statHtml/statHtml.do?orgId=112&tblId=DT_15407_NN003,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,보육시설 보급률,"링크만 제공, 원문 재배포 안 함",찾는 방법: KOSIS → 보육통계 ‘시도별 어린이집 현황(정원)’ + 주민등록 1세별 인구. 대안: e-지방지표 ‘유아 천명당 보육시설수’ / 보조 출처: 유아 천명당 보육시설수 https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL20951
방과후 돌봄시설 보급도,보건복지부,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&act=view&list_no=347082&tag=&nPage=1,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,방과후 돌봄시설 보급도,"링크만 제공, 원문 재배포 안 함","찾는 방법: 다함께돌봄센터: 보사연 연구보고서 / 보건복지부 보건복지통계연보
지역아동센터: 국가아동권리보장원 자료실 ‘전국 지역아동센터 통계조사 보고서’ / 보조 출처: 국가아동권리보장원 자료실 https://www.icareinfo.go.kr/info/research/researchList.do"
사교육비 지출액,KOSIS(통계청 국가통계포털),https://kosis.kr/statHtml/statHtml.do?conn_path=I3&orgId=101&tblId=DT_1PE101,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,사교육비 지출액,"링크만 제공, 원문 재배포 안 함",찾는 방법: KOSIS → 초중고사교육비조사 → 지역별 학생 1인당 월평균 사교육비 / 보조 출처: MDIS 사교육비조사 https://mdis.mods.go.kr/ofrData/selectOrgOfrData.do?curMenuNo=UI_POR_P9220
