지역,연도,당해계획예산_백만원,세부사업수,예산금액_존재_사업수,예산결측_사업수,예산비수치_사업수,음수예산_사업수,합계출산율,예산_QA_그룹수,예산_QA_일치건수,예산_QA_불일치건수,예산_QA_판정불가건수,예산_QA_허용초과건수,예산_QA_최대절대오차율,원자료_누락주의,소비자물가지수,기준연도,20_39세_인구_명,실질계획예산_2024년가격_백만원,log1p_실질계획예산,20_39세_1인당_실질예산_원,log1p_20_39세_1인당_실질예산,총액기준_재정대응지수_z,재정대응지수_z,재정대응점수_0_100,실질예산_전년증감액_백만원,실질예산_전년증감률,log실질예산_전년변화,log1인당실질예산_전년변화,전년도_합계출산율,전전년도_합계출산율,직전1년_출산율하락도
강원,2016,966330.0,251,250,1,0,0,1.237,6,3,3,0,0,3.04,,83.786765,2024=100,370276,1153320.5751528896,13.958156663359686,3114759.19355532,14.951662722827821,-0.561118294133205,-0.3456273741059063,52.07602950808793,,,,,,,
강원,2017,1189656.0,276,276,0,0,0,1.123,6,0,0,6,0,,,85.339636,2024=100,366102,1394025.1631727137,14.147706638543063,3807750.7447998472,15.152549479700966,-0.35229589181149856,0.054820244452303796,58.19038472191265,240704.58801982412,0.20870570872102512,0.18954997518337713,0.20088675687314428,1.237,,
강원,2018,1070709.0,77,77,0,0,0,1.067,3,0,0,3,0,,원자료에 자체사업 상세가 없어 세부사업 합계가 과소대표될 수 있음,86.797969,2024=100,358469,1233564.5779914504,14.025419377698459,3441202.943605864,15.05133195172596,-0.4870166669432641,-0.14694675435257754,55.109644460396865,-160460.58518126328,-0.11510594601898361,-0.12228726084460462,-0.10121752797500605,1.123,1.237,0.1140000000000001
강원,2019,1610182.0,428,428,0,0,0,1.082,6,4,2,0,0,0.02,,87.068452,2024=100,351771,1849328.8476060193,14.43033388689082,5257195.299231657,15.475108419646894,-0.04093261727424196,0.6978091669504377,68.00805497017889,615764.2696145689,0.49917473361401643,0.40491450919236094,0.42377646792093415,1.067,1.123,0.05600000000000005
강원,2020,1479594.0,470,470,0,0,0,1.036,6,4,2,0,0,0.0,,87.535014,2024=100,346364,1690288.1857081784,14.340410188064272,4880092.000635685,15.400674835155051,-0.13999927658900424,0.5494332754060689,65.74253292927723,-159040.6618978409,-0.08599912454927694,-0.0899236988265475,-0.07443358449184245,1.082,1.067,-0.015000000000000124
강원,2021,1968341.0,437,437,0,0,0,0.979,8,8,0,0,0,0.0,,89.802171,2024=100,338241,2191863.490694451,14.60026310520045,6480182.741579085,15.684259423108415,0.14627409461130253,1.1147307329057037,74.37394761734416,501575.3049862727,0.2967395200577161,0.2598529171361772,0.2835845879533636,1.036,1.082,0.04600000000000004
강원,2022,1320745.8,521,521,0,0,0,0.968,8,7,1,0,0,0.0,,94.590336,2024=100,330559,1396279.8482923247,14.149322722795487,4223995.862440063,15.256292361574413,-0.3505154927604358,0.2616212831829041,61.34798873998477,-795583.6424021265,-0.36297134642726336,-0.45094038240496204,-0.42796706153400166,0.979,1.036,0.05700000000000005
강원,2023,2579093.0,537,537,0,0,0,0.893,8,5,3,0,0,0.0,,97.706583,2024=100,322204,2639630.7401313996,14.786149973018063,8192420.764892426,15.91872010990834,0.3510609444126718,1.5821046162614973,81.51018668599181,1243350.891839075,0.8904739929890955,0.6368272502225754,0.6624277483339274,0.968,0.979,0.01100000000000001
강원,2024,2540007.0,496,496,0,0,0,0.889,8,8,0,0,0,0.0,,100.0,2024=100,314734,2540007.0,14.747677788596059,8070329.230397733,15.903704960152114,0.3086771141547449,1.5521734199209993,81.05317318929666,-99623.7401313996,-0.03774154415493747,-0.03847218442200351,-0.015015149756226975,0.893,0.968,0.07499999999999996
경기,2016,4814583.0,126,124,2,0,0,1.194,6,6,0,0,0,0.0,,83.786765,2024=100,3643196,5746233.310237004,15.564055295663694,1577250.6640425068,14.271194437260242,1.2080595174620696,-1.702072710281044,31.36473487391823,,,,,,,
