세부영역,순위,단어,평균_TFIDF,등장문서수,분석문서수,중복제거
1-1. 고용여건,1,청년,0.13885697655453863,1349,3483,False
1-1. 고용여건,2,일자리,0.08442866723755639,638,3483,False
1-1. 고용여건,3,창업,0.07449885135841619,496,3483,False
1-1. 고용여건,4,취업,0.07199282174603658,521,3483,False
1-1. 고용여건,5,여성,0.045695702426210676,398,3483,False
1-1. 고용여건,6,대학,0.029963096077510402,221,3483,False
1-1. 고용여건,7,인턴,0.02677595170735503,146,3483,False
1-1. 고용여건,8,기업,0.02409848208602109,172,3483,False
1-1. 고용여건,9,경력,0.02206142395630782,166,3483,False
1-1. 고용여건,10,단절,0.021579881815910702,154,3483,False
1-1. 고용여건,11,채용,0.020741933158593875,145,3483,False
1-1. 고용여건,12,육성,0.019825341195545396,156,3483,False
1-1. 고용여건,13,박람회,0.0180794936772064,106,3483,False
1-1. 고용여건,14,정착,0.01804396862168043,126,3483,False
1-1. 고용여건,15,맞춤,0.01751857132508856,147,3483,False
1-1. 고용여건,16,교육,0.015835678254379325,167,3483,False
1-1. 고용여건,17,고용,0.015649867612355872,112,3483,False
1-1. 고용여건,18,양성,0.015625160488392097,129,3483,False
1-1. 고용여건,19,인력,0.014717455101337451,112,3483,False
1-1. 고용여건,20,창출,0.014370698391005889,97,3483,False
1-2. 주거안정성,1,주택,0.16360547483549664,369,959,False
1-2. 주거안정성,2,이자,0.15006998941183233,357,959,False
1-2. 주거안정성,3,신혼부부,0.13383571466555536,310,959,False
1-2. 주거안정성,4,청년,0.1255632030377367,360,959,False
1-2. 주거안정성,5,대출,0.12223397228008363,293,959,False
1-2. 주거안정성,6,자금,0.10625572284651587,243,959,False
1-2. 주거안정성,7,전세,0.09290131486076247,205,959,False
1-2. 주거안정성,8,주거,0.08790884056365704,165,959,False
1-2. 주거안정성,9,보증금,0.06055249491080297,122,959,False
1-2. 주거안정성,10,월세,0.05581761076569719,76,959,False
1-2. 주거안정성,11,임대,0.05189538862485127,99,959,False
1-2. 주거안정성,12,복지,0.037001137577089775,73,959,False
1-2. 주거안정성,13,임차,0.03660049958773059,64,959,False
1-2. 주거안정성,14,주거비,0.03483478158853491,49,959,False
1-2. 주거안정성,15,부모,0.03165991426399796,60,959,False
1-2. 주거안정성,16,행복,0.03053623724200471,68,959,False
1-2. 주거안정성,17,가족,0.026446965339315266,61,959,False
1-2. 주거안정성,18,보금자리,0.025611649114048837,40,959,False
1-2. 주거안정성,19,시설,0.025295126526751532,54,959,False
1-2. 주거안정성,20,공급,0.024760154839529532,47,959,False
1-3. 경제적 여건,1,출산,0.18748827289267703,2053,4734,False
1-3. 경제적 여건,2,장려금,0.13035741074526674,925,4734,False
1-3. 경제적 여건,3,축하금,0.07029584450677778,543,4734,False
1-3. 경제적 여건,4,지원금,0.06385365210313185,527,4734,False
1-3. 경제적 여건,5,가정,0.050834293949349504,641,4734,False
1-3. 경제적 여건,6,다자녀,0.05001807475035015,623,4734,False
1-3. 경제적 여건,7,지급,0.04295720970294649,419,4734,False
1-3. 경제적 여건,8,양육비,0.04139963396045252,327,4734,False
1-3. 경제적 여건,9,장애인,0.03695875229325427,310,4734,False
1-3. 경제적 여건,10,자녀,0.03629809856598813,392,4734,False
1-3. 경제적 여건,11,부모,0.034641276901158966,327,4734,False
1-3. 경제적 여건,12,수당,0.02805261785715946,240,4734,False
1-3. 경제적 여건,13,감면,0.026161778809823077,303,4734,False
1-3. 경제적 여건,14,요금,0.02503866668022916,268,4734,False
1-3. 경제적 여건,15,양육,0.021918325545075473,194,4734,False
1-3. 경제적 여건,16,가족,0.02171816830459305,258,4734,False
1-3. 경제적 여건,17,결혼,0.021327511682782692,192,4734,False
1-3. 경제적 여건,18,포인트,0.020646771040923564,166,4734,False
1-3. 경제적 여건,19,카드,0.019836973746661615,192,4734,False
1-3. 경제적 여건,20,아동,0.01907174220091025,186,4734,False
2-1. 돌봄 여건,1,어린이집,0.07772714073476421,2825,14403,False
2-1. 돌봄 여건,2,보육,0.04428430911614763,1511,14403,False
2-1. 돌봄 여건,3,아동,0.03647084266227726,1182,14403,False
2-1. 돌봄 여건,4,돌봄,0.036146735691427234,1066,14403,False
2-1. 돌봄 여건,5,육아,0.028542164383563256,840,14403,False
2-1. 돌봄 여건,6,교육,0.02229718967534274,882,14403,False
2-1. 돌봄 여건,7,용품,0.021302770799535454,583,14403,False
2-1. 돌봄 여건,8,방과,0.020159061073396614,523,14403,False
2-1. 돌봄 여건,9,아이,0.01985301612165277,528,14403,False
2-1. 돌봄 여건,10,교사,0.019255419936399863,551,14403,False
2-1. 돌봄 여건,11,가족,0.01922828840559794,678,14403,False
2-1. 돌봄 여건,12,다문화,0.019177917685452697,625,14403,False
2-1. 돌봄 여건,13,출산,0.018764349288732985,768,14403,False
2-1. 돌봄 여건,14,학교,0.01608046307532027,505,14403,False
2-1. 돌봄 여건,15,유치원,0.016068725322604602,466,14403,False
2-1. 돌봄 여건,16,교실,0.01602508217409857,506,14403,False
2-1. 돌봄 여건,17,교직원,0.015769346513153138,438,14403,False
2-1. 돌봄 여건,18,환경,0.015673236123254122,437,14403,False
2-1. 돌봄 여건,19,보육료,0.015391537621745378,374,14403,False
2-1. 돌봄 여건,20,가정,0.014951082161330035,518,14403,False
2-2. 여가 인프라,1,청소년,0.06769586411366693,570,3673,False
2-2. 여가 인프라,2,평생,0.050789158111724686,371,3673,False
2-2. 여가 인프라,3,문화,0.04966087227900109,403,3673,False
2-2. 여가 인프라,4,가족,0.045891834515702924,430,3673,False
2-2. 여가 인프라,5,행사,0.041446876485543266,313,3673,False
2-2. 여가 인프라,6,학습,0.037458839511746674,291,3673,False
2-2. 여가 인프라,7,어린이날,0.035980639520104926,197,3673,False
2-2. 여가 인프라,8,어린이,0.030987482410309124,246,3673,False
2-2. 여가 인프라,9,다문화,0.028139048347986494,235,3673,False
2-2. 여가 인프라,10,축제,0.026263060282912146,172,3673,False
2-2. 여가 인프라,11,체험,0.024753693705006772,189,3673,False
2-2. 여가 인프라,12,교육,0.023817820967612997,242,3673,False
2-2. 여가 인프라,13,마당,0.023209019193313724,154,3673,False
2-2. 여가 인프라,14,동아리,0.02095833951303729,123,3673,False
2-2. 여가 인프라,15,도서관,0.019656758884504355,131,3673,False
2-2. 여가 인프라,16,활동,0.019527720922475504,148,3673,False
2-2. 여가 인프라,17,아동,0.0169219206952993,181,3673,False
2-2. 여가 인프라,18,활성,0.01664874372425322,156,3673,False
2-2. 여가 인프라,19,다자녀,0.016353567176570365,176,3673,False
2-2. 여가 인프라,20,대회,0.015739263109436314,134,3673,False
2-3. 가사수행 격차,1,아빠,0.33127848136452837,106,194,False
2-3. 가사수행 격차,2,육아,0.10336517239172677,50,194,False
2-3. 가사수행 격차,3,캠프,0.08894290128921191,26,194,False
2-3. 가사수행 격차,4,아버지,0.08482682593306111,23,194,False
2-3. 가사수행 격차,5,교실,0.04676397213855228,22,194,False
2-3. 가사수행 격차,6,남성,0.03984993606454453,13,194,False
2-3. 가사수행 격차,7,행복,0.03552581071124194,16,194,False
2-3. 가사수행 격차,8,참여,0.03457706766519768,13,194,False
2-3. 가사수행 격차,9,가족,0.029546914905650708,16,194,False
2-3. 가사수행 격차,10,학교,0.028372735630538458,13,194,False
2-3. 가사수행 격차,11,문화,0.026088233261208252,12,194,False
2-3. 가사수행 격차,12,돌봄,0.02351829419444108,7,194,False
2-3. 가사수행 격차,13,부부,0.023107541080984454,10,194,False
2-3. 가사수행 격차,14,역할,0.021387460471772774,6,194,False
2-3. 가사수행 격차,15,아카데미,0.02073168191175329,8,194,False
2-3. 가사수행 격차,16,부평구,0.019222033055435784,5,194,False
2-3. 가사수행 격차,17,교육,0.018691122423140707,11,194,False
2-3. 가사수행 격차,18,토요일,0.018329483252491,5,194,False
2-3. 가사수행 격차,19,가정,0.018007304317349572,9,194,False
2-3. 가사수행 격차,20,예비,0.01800417670562938,7,194,False
3-1. 의료서비스 여건,1,건강,0.1298937273478633,1734,5216,False
3-1. 의료서비스 여건,2,임산부,0.09217329011218987,988,5216,False
3-1. 의료서비스 여건,3,난임,0.05883249127627893,567,5216,False
3-1. 의료서비스 여건,4,검사,0.05436971133938422,644,5216,False
3-1. 의료서비스 여건,5,검진,0.05281767656362099,563,5216,False
3-1. 의료서비스 여건,6,부부,0.05177509850744134,544,5216,False
3-1. 의료서비스 여건,7,영유아,0.04900599577483477,496,5216,False
3-1. 의료서비스 여건,8,의료비,0.0375365491441483,376,5216,False
3-1. 의료서비스 여건,9,예비,0.029981096511609625,297,5216,False
3-1. 의료서비스 여건,10,영양제,0.02558595051729784,190,5216,False
3-1. 의료서비스 여건,11,예방,0.025297401912537817,318,5216,False
3-1. 의료서비스 여건,12,시술,0.02455684696119288,232,5216,False
3-1. 의료서비스 여건,13,보험료,0.024301505687621232,223,5216,False
3-1. 의료서비스 여건,14,출생아,0.023277111322628358,213,5216,False
3-1. 의료서비스 여건,15,선천,0.022622806493731,248,5216,False
3-1. 의료서비스 여건,16,기형아,0.021761587483146046,203,5216,False
3-1. 의료서비스 여건,17,보건,0.021556400149306543,211,5216,False
3-1. 의료서비스 여건,18,산전,0.020597777390368346,197,5216,False
3-1. 의료서비스 여건,19,모자,0.020395545484213868,183,5216,False
