세부영역,순위,단어,평균_TFIDF,등장문서수,분석문서수,중복제거
1-1. 고용여건,1,청년,0.10740826008933307,1280,3462,False
1-1. 고용여건,2,취업,0.10158876765013171,999,3462,False
1-1. 고용여건,3,창업,0.07471695928570765,655,3462,False
1-1. 고용여건,4,일자리,0.05070019684302212,543,3462,False
1-1. 고용여건,5,기업,0.046792820089813884,493,3462,False
1-1. 고용여건,6,여성,0.03812417912651154,428,3462,False
1-1. 고용여건,7,교육,0.03617265124164018,646,3462,False
1-1. 고용여건,8,채용,0.03203275027545441,303,3462,False
1-1. 고용여건,9,직업,0.027487434711146747,254,3462,False
1-1. 고용여건,10,구직자,0.026468835914953907,230,3462,False
1-1. 고용여건,11,경력,0.02422702258729385,235,3462,False
1-1. 고용여건,12,대학,0.02132417577571609,241,3462,False
1-1. 고용여건,13,역량,0.021115366538285524,214,3462,False
1-1. 고용여건,14,구직,0.020832883575132178,166,3462,False
1-1. 고용여건,15,면접,0.020655867165118486,179,3462,False
1-1. 고용여건,16,단절,0.02061976213707506,180,3462,False
1-1. 고용여건,17,훈련,0.018035830144039332,170,3462,False
1-1. 고용여건,18,고용,0.017616951539553338,167,3462,False
1-1. 고용여건,19,맞춤,0.017502508074801804,199,3462,False
1-1. 고용여건,20,정착,0.016507509045914498,160,3462,False
1-2. 주거안정성,1,주택,0.1927077048276239,531,946,False
1-2. 주거안정성,2,대출,0.12211586817797096,324,946,False
1-2. 주거안정성,3,신혼부부,0.10850342419748576,304,946,False
1-2. 주거안정성,4,이자,0.1082231008292151,293,946,False
1-2. 주거안정성,5,전세,0.09292187695168924,242,946,False
1-2. 주거안정성,6,청년,0.08771919733256722,301,946,False
1-2. 주거안정성,7,최대,0.08749470530622559,245,946,False
1-2. 주거안정성,8,자금,0.0782185755410167,209,946,False
1-2. 주거안정성,9,임대,0.05672616669424856,131,946,False
1-2. 주거안정성,10,보증금,0.05624238803211782,141,946,False
1-2. 주거안정성,11,주거,0.049036713271772295,115,946,False
1-2. 주거안정성,12,월세,0.04537171750999121,83,946,False
1-2. 주거안정성,13,잔액,0.04509292387845859,117,946,False
1-2. 주거안정성,14,가구,0.041927987874364185,138,946,False
1-2. 주거안정성,15,공급,0.04064884921390187,102,946,False
1-2. 주거안정성,16,소득,0.0378592503374734,170,946,False
1-2. 주거안정성,17,임차,0.03242492613392853,86,946,False
1-2. 주거안정성,18,거주,0.028538819829445082,117,946,False
1-2. 주거안정성,19,주거비,0.026712508727473324,52,946,False
1-2. 주거안정성,20,이내,0.02481946811401603,86,946,False
1-3. 경제적 여건,1,출산,0.11553337202386868,1654,4611,False
1-3. 경제적 여건,2,지급,0.0881889893639505,1218,4611,False
1-3. 경제적 여건,3,가정,0.060726681566251405,1090,4611,False
1-3. 경제적 여건,4,자녀,0.06030476470950483,849,4611,False
1-3. 경제적 여건,5,장려금,0.05740113748873483,565,4611,False
1-3. 경제적 여건,6,축하금,0.046828796288739157,466,4611,False
1-3. 경제적 여건,7,셋째아,0.043217110747694,435,4611,False
1-3. 경제적 여건,8,출생,0.03990922652859062,509,4611,False
1-3. 경제적 여건,9,둘째아,0.035314750061893656,356,4611,False
1-3. 경제적 여건,10,지원금,0.034748527627037125,373,4611,False
1-3. 경제적 여건,11,양육비,0.03230511752189742,302,4611,False
1-3. 경제적 여건,12,거주,0.03171649027580662,529,4611,False
1-3. 경제적 여건,13,아동,0.03145078004835163,351,4611,False
1-3. 경제적 여건,14,출생아,0.03129307121507745,328,4611,False
1-3. 경제적 여건,15,다자녀,0.030274394934695942,430,4611,False
1-3. 경제적 여건,16,이후,0.026760413515593027,270,4611,False
1-3. 경제적 여건,17,감면,0.026488848700442602,324,4611,False
1-3. 경제적 여건,18,장애인,0.026023512147797048,269,4611,False
1-3. 경제적 여건,19,부모,0.0243814679510616,335,4611,False
1-3. 경제적 여건,20,등록,0.023249051691026063,394,4611,False
2-1. 돌봄 여건,1,어린이집,0.07742965497605742,3576,14278,False
2-1. 돌봄 여건,2,아동,0.044456273013113966,2034,14278,False
2-1. 돌봄 여건,3,보육,0.04395579444105928,1829,14278,False
2-1. 돌봄 여건,4,돌봄,0.032380505529110114,1235,14278,False
2-1. 돌봄 여건,5,교육,0.0297874667481945,1850,14278,False
2-1. 돌봄 여건,6,가정,0.02579294658115906,1482,14278,False
2-1. 돌봄 여건,7,운영비,0.02494152026583516,1083,14278,False
2-1. 돌봄 여건,8,관내,0.022487558522989653,1151,14278,False
2-1. 돌봄 여건,9,교사,0.022485759412985196,859,14278,False
2-1. 돌봄 여건,10,육아,0.02041438323564993,809,14278,False
2-1. 돌봄 여건,11,인건비,0.02014404702881074,822,14278,False
2-1. 돌봄 여건,12,영유아,0.019176555019780748,838,14278,False
2-1. 돌봄 여건,13,방과,0.018925701635744887,716,14278,False
