모형,종속변수,설명변수,누락주의관측치_제외,계수,군집표준오차,t값,p값,95%신뢰구간_하한,95%신뢰구간_상한,관측치,지역수,연도수,잔차자유도,추론자유도,지역고정효과,연도고정효과,지역군집표준오차,단순_Pearson_r,단순_Pearson_p값,단순_Spearman_rho,단순_Spearman_p값,음의계수_재정대응방향,FDR_q값,FDR_0.05_유의
3-1. 의료서비스 여건,계획예산비중_변화_t2_t3_pp,구조환경지수_변화_t_t1,False,-0.16273952335995023,0.10339031115894336,-1.5740306952918297,0.1350442120736124,-0.3819171918739287,0.0564381451540282,102,17,6,79.0,16.0,True,True,True,-0.2087343610883441,0.03525801672339211,-0.08649654228700998,0.3873531016922438,True,0.3531143813155925,False
1-1. 고용여건,계획예산비중_변화_t2_t3_pp,구조환경지수_변화_t_t1,False,-0.027509349295143253,0.04841879886954332,-0.5681543106689362,0.5778173883962799,-0.13015261760061622,0.07513391901032973,102,17,6,79.0,16.0,True,True,True,-0.022383413859249048,0.8232994912555378,-0.048487144545408284,0.6284244245100333,True,0.6612521290659739,False
3-3. 아동안전 수준,계획예산비중_변화_t2_t3_pp,구조환경지수_변화_t_t1,False,-0.006521722671484572,0.0025128653464583624,-2.5953331246643603,0.019524974830678034,-0.011848759235671108,-0.0011946861072980354,102,17,6,79.0,16.0,True,True,True,-0.10389062113895531,0.2987455084908913,-0.11767566390868657,0.23882997298347292,True,0.21477472313745838,False
4-2. 사회적 가치관,계획예산비중_변화_t2_t3_pp,구조환경지수_변화_t_t1,False,-0.0020270286406678614,0.0016050180408571607,-1.2629319976897742,0.2247091517462861,-0.005429514890826673,0.0013754576094909495,102,17,6,79.0,16.0,True,True,True,-0.013995083428563503,0.8889695281384927,-0.04980506023662395,0.6191073843212946,True,0.3531143813155925,False
2-3. 가사수행 격차,계획예산비중_변화_t2_t3_pp,구조환경지수_변화_t_t1,False,1.3640999019671987e-05,2.855685711059972e-05,0.47767858230479876,0.6393393578932,-4.6896833698192526e-05,7.41788317375365e-05,102,17,6,79.0,16.0,True,True,True,-0.022320751344342686,0.8237861532888293,-0.07334732445949084,0.4637843635168358,False,0.6612521290659739,False
4-1. 일·가정 양립 여건,계획예산비중_변화_t2_t3_pp,구조환경지수_변화_t_t1,False,0.008509120270615535,0.00655264592041556,1.2985777614054108,0.21249408803251904,-0.005381868539993945,0.022400109081225014,102,17,6,79.0,16.0,True,True,True,0.0243162525105574,0.8083220337439038,-0.04276493422427546,0.6695417849192892,False,0.3531143813155925,False
2-2. 여가 인프라,계획예산비중_변화_t2_t3_pp,구조환경지수_변화_t_t1,False,0.022393879660624103,0.050159352126691245,0.44645472302078776,0.6612521290659739,-0.08393919671825358,0.1287269560395018,102,17,6,79.0,16.0,True,True,True,-0.013603267229374702,0.8920589976730631,-0.09634664208853781,0.33539484968813016,False,0.6612521290659739,False
1-2. 주거안정성,계획예산비중_변화_t2_t3_pp,구조환경지수_변화_t_t1,False,0.08341077129369726,0.10530018441564704,0.7921236962364034,0.439875643633929,-0.13981564765800827,0.3066371902454028,102,17,6,79.0,16.0,True,True,True,0.13936072695399407,0.1624271325027707,0.11294818802268577,0.2583569442761869,False,0.6048290099966523,False
3-2. 산후조리 여건,계획예산비중_변화_t2_t3_pp,구조환경지수_변화_t_t1,False,0.2184966793512313,0.12389005343209263,1.7636337486204656,0.09687656876104683,-0.044138501440266265,0.48113186014272885,102,17,6,79.0,16.0,True,True,True,0.09201106140527388,0.3576948426816484,0.07627324697061369,0.44609639222724246,False,0.3531143813155925,False
1-3. 경제적 여건,계획예산비중_변화_t2_t3_pp,구조환경지수_변화_t_t1,False,0.2751183201134284,0.20596032243820192,1.3357831103414457,0.20031129826639177,-0.16149805885263413,0.7117346990794909,102,17,6,79.0,16.0,True,True,True,-0.0622731335737054,0.5340862276208483,-0.029759515072009773,0.7665291774874434,False,0.3531143813155925,False
2-1. 돌봄 여건,계획예산비중_변화_t2_t3_pp,구조환경지수_변화_t_t1,False,1.6740768476405459,0.927263575620135,1.8053948107699125,0.08986310121201048,-0.29163412009142675,3.6397878153725185,102,17,6,79.0,16.0,True,True,True,0.0458453467805099,0.6472760939881703,0.038173377589043885,0.7032629126128848,False,0.3531143813155925,False
