지역,관측치,비영변화_관측치,Pearson_r,Pearson_p값,Spearman_rho,Spearman_p값,반대방향_변화비율_pct,대응성_기술순위,대응성_탐색집단
세종,66,56,-0.02044261581244219,0.8705810988793747,-0.17457937832175535,0.16092021912146529,53.57142857142857,1,상대적으로 높음
경북,66,62,-0.028143987340398267,0.8225093741691252,-0.16657620132504763,0.18129576626467778,53.2258064516129,2,상대적으로 높음
인천,66,62,-0.06612559520828602,0.5978321118976645,-0.16048184324835538,0.19802054634012706,53.2258064516129,3,상대적으로 높음
경기,66,62,-0.04586893749370355,0.7145787355174519,-0.06663883126075348,0.5949863871356773,48.38709677419355,4,상대적으로 높음
울산,66,60,-0.00421500490598772,0.9732051077658899,-0.02742157890718298,0.8269939351037019,50.0,5,상대적으로 높음
충남,66,62,0.04519332985295456,0.7186067274206329,-0.025302714125323693,0.8401787015454958,46.774193548387096,6,상대적으로 높음
충북,66,60,0.12392481612456212,0.3215088636892447,-0.022340536590458294,0.8586838739769959,55.00000000000001,7,중간
대전,66,61,0.021797820830594162,0.8620828411545257,-0.01658681204409486,0.8948369409598715,50.81967213114754,8,중간
부산,66,62,0.046407951862758826,0.711370668391675,0.01590814204908965,0.8991168774242447,50.0,9,중간
전남,66,62,0.024787178291636732,0.8433934340155641,0.06668058491442565,0.5947551427533698,54.83870967741935,10,중간
광주,66,62,-0.013064550880539434,0.9170793559044845,0.07620041795167613,0.5431130393765412,45.16129032258064,11,중간
강원,66,61,0.08550377169617548,0.4948498723449206,0.09001973332426423,0.4722567904662003,45.90163934426229,12,상대적으로 낮음
경남,66,61,0.022048792571393437,0.8605107198562787,0.09983819641457346,0.425109741498733,44.26229508196721,13,상대적으로 낮음
대구,66,62,0.07268415679755073,0.5619317556846929,0.10482254754393584,0.4022427277883234,50.0,14,상대적으로 낮음
서울,66,61,0.1085912866999362,0.3854411830040998,0.10746458778726026,0.3904197224834906,55.73770491803278,15,상대적으로 낮음
전북,66,61,0.07533877936042768,0.5476959698899931,0.11118997972893893,0.37410369415988015,47.540983606557376,16,상대적으로 낮음
제주,66,60,0.0899460126945767,0.4726210988162902,0.21790053907202134,0.07881633641735485,38.333333333333336,17,상대적으로 낮음
