지역,연도,구조환경종합지수,합계출산율,구조환경_연도별순위,TFR_연도별순위,구조환경_연도별순위점수,TFR_연도별순위점수,순위차이_TFR_minus_구조환경,절대순위차이,연도별_Spearman_rho,구조환경_시도내_z,TFR_시도내_z,시도별_동시점_Pearson_r
강원,2016,38.41866416520619,1.237,7.0,10.0,62.5,43.75,3.0,3.0,0.497854170829175,-1.510357745937227,1.952733247049913,-0.9632591325601174
강원,2017,44.452482427818126,1.123,2.0,10.0,93.75,43.75,8.0,8.0,0.4558823529411765,-0.8884122242368343,0.8750009654613106,-0.9632591325601174
강원,2018,45.87434144231297,1.067,2.0,9.0,93.75,50.0,7.0,7.0,0.5637254901960785,-0.7418518195203034,0.34558861661076895,-0.9632591325601174
강원,2019,48.576652958041024,1.082,2.0,7.0,93.75,62.5,5.0,5.0,0.4607843137254902,-0.46330671386792954,0.48739549576716507,-0.9632591325601174
강원,2020,51.56027830390686,1.036,5.0,3.0,75.0,87.5,-2.0,2.0,0.5220588235294118,-0.1557647327327928,0.052521066354220165,-0.9632591325601174
강원,2021,54.15490425691612,0.979,4.0,3.0,81.25,87.5,-1.0,1.0,0.5416666666666667,0.1116805103500127,-0.4863450744400811,-0.9632591325601174
강원,2022,58.64855346580149,0.968,5.0,3.0,75.0,87.5,-2.0,2.0,0.5000000000000001,0.5748706297602295,-0.5903367858214374,-0.9632591325601174
강원,2023,66.09689916508609,0.893,2.0,3.0,93.75,87.5,1.0,1.0,0.5980392156862745,1.3426208420016434,-1.299371181603412,-0.9632591325601174
강원,2024,69.8601236106884,0.889,1.0,4.0,100.0,81.25,3.0,3.0,0.4917229618288157,1.7305212541832051,-1.3371863493784506,-0.9632591325601174
경기,2016,31.780101510911063,1.194,14.0,11.0,18.75,37.5,-3.0,3.0,0.497854170829175,-1.44649013665906,2.024103791341275,-0.9215079482111306
경기,2017,34.93836833246641,1.069,14.0,12.0,18.75,31.25,-2.0,2.0,0.4558823529411765,-0.9453426789670597,1.0804167771436228,-0.9215079482111306
경기,2018,35.80105981713267,1.002,14.0,12.0,18.75,31.25,-2.0,2.0,0.5637254901960785,-0.8084525209340788,0.5746005375336817,-0.9215079482111306
경기,2019,37.89397899076984,0.943,15.0,11.0,12.5,37.5,-4.0,4.0,0.4607843137254902,-0.4763522956255095,0.12918026683238945,-0.9215079482111306
경기,2020,41.07262222885071,0.878,15.0,11.0,12.5,37.5,-4.0,4.0,0.5220588235294118,0.028028451055548107,-0.36153698055038924,-0.9215079482111306
경기,2021,40.78265413637984,0.853,16.0,11.0,6.25,37.5,-5.0,5.0,0.5416666666666667,-0.017983105460760505,-0.5502743833899199,-0.9215079482111306
경기,2022,44.54057365901361,0.839,16.0,11.0,6.25,37.5,-5.0,5.0,0.5000000000000001,0.5783160425800615,-0.6559673289800569,-0.9215079482111306
경기,2023,49.86573159730146,0.766,16.0,12.0,6.25,31.25,-4.0,4.0,0.5980392156862745,1.4233014454495645,-1.2070805452714854,-0.9215079482111306
경기,2024,51.38877420895508,0.789,16.0,12.0,6.25,31.25,-4.0,4.0,0.4917229618288157,1.6649747985612904,-1.0334421346591174,-0.9215079482111306
경남,2016,34.178948065132964,1.358,12.0,7.0,31.25,62.5,-5.0,5.0,0.497854170829175,-1.5717716117292286,1.9010002174861151,-0.9539587497279919
경남,2017,37.70931219221372,1.227,11.0,8.0,37.5,56.25,-3.0,3.0,0.4558823529411765,-1.0412175626772193,1.1926312995290578,-0.9539587497279919
경남,2018,39.466890647956994,1.122,11.0,8.0,37.5,56.25,-3.0,3.0,0.5637254901960785,-0.7770832318674844,0.6248546858993554,-0.9539587497279919
경남,2019,41.74468940117315,1.046,10.0,9.0,43.75,50.0,-1.0,1.0,0.4607843137254902,-0.4347685844422208,0.21389256555785618,-0.9539587497279919
경남,2020,45.49845217580399,0.945,10.0,9.0,43.75,50.0,-1.0,1.0,0.5220588235294118,0.12935850488097655,-0.3322544627907152,-0.9539587497279919
경남,2021,45.721635390640955,0.903,11.0,9.0,37.5,50.0,-2.0,2.0,0.5416666666666667,0.16289916925717773,-0.5593651082425957,-0.9539587497279919
경남,2022,49.02246346775618,0.838,11.0,12.0,37.5,31.25,1.0,1.0,0.5000000000000001,0.6589578302050377,-0.9108458690609832,-0.9539587497279919
경남,2023,53.18748422258411,0.799,12.0,9.0,31.25,50.0,-3.0,3.0,0.5980392156862745,1.2848900418171187,-1.1217343255520151,-0.9539587497279919
경남,2024,55.209304453574475,0.82,11.0,9.0,37.5,50.0,-2.0,2.0,0.4917229618288157,1.5887354445558455,-1.008179002826075,-0.9539587497279919
경북,2016,37.4542052745491,1.396,9.0,5.0,50.0,75.0,-4.0,4.0,0.497854170829175,-1.1888220286736522,1.96459483653023,-0.8734376640592612
경북,2017,39.79046238572148,1.256,10.0,6.0,43.75,68.75,-4.0,4.0,0.4558823529411765,-0.8640539460113681,1.1394650051875337,-0.8734376640592612
경북,2018,39.854222508775614,1.167,10.0,6.0,43.75,68.75,-4.0,4.0,0.5637254901960785,-0.8551905153488885,0.6149181838339625,-0.8734376640592612
경북,2019,40.15786677668105,1.089,12.0,5.0,31.25,75.0,-7.0,7.0,0.4607843137254902,-0.8129802782018503,0.15520299208588811,-0.8734376640592612
경북,2020,44.41933018657134,1.003,11.0,6.0,37.5,68.75,-5.0,5.0,0.5220588235294118,-0.22058516280676543,-0.35166247573891174,-0.8734376640592612
경북,2021,46.65689058557483,0.966,10.0,4.0,43.75,81.25,-6.0,6.0,0.5416666666666667,0.09046287944435193,-0.5697325025937668,-0.8734376640592612
경북,2022,51.51769429373564,0.93,10.0,4.0,43.75,81.25,-6.0,6.0,0.5000000000000001,0.7661735676848761,-0.7819087449390313,-0.8734376640592612
경북,2023,56.01888263064966,0.86,10.0,5.0,43.75,75.0,-5.0,5.0,0.5980392156862745,1.3918933563548057,-1.19447366061038,-0.8734376640592612
경북,2024,58.18566308488501,0.897,10.0,3.0,43.75,87.5,-7.0,7.0,0.4917229618288157,1.6931021275585014,-0.9764036337555242,-0.8734376640592612
광주,2016,39.64917347345754,1.168,5.0,14.0,75.0,18.75,9.0,9.0,0.497854170829175,-1.416593548055463,1.8758559422452448,-0.9324304365313194
광주,2017,42.63889644497159,1.053,5.0,14.0,75.0,18.75,9.0,9.0,0.4558823529411765,-1.0693247481164725,1.0834025135824579,-0.9324304365313194
광주,2018,43.90264106622371,0.972,8.0,14.0,56.25,18.75,6.0,6.0,0.5637254901960785,-0.9225355364627489,0.525239663828669,-0.9324304365313194
광주,2019,46.93444218050114,0.913,4.0,14.0,81.25,18.75,10.0,10.0,0.4607843137254902,-0.5703791846400805,0.11867660042776133,-0.9324304365313194
광주,2020,52.337282282954305,0.811,2.0,13.0,93.75,25.0,11.0,11.0,0.5220588235294118,0.057183240547093464,-0.5841951362992323,-0.9324304365313194
광주,2021,54.53381125351243,0.896,2.0,10.0,93.75,43.75,8.0,8.0,0.5416666666666667,0.3123192470951039,0.0015313109732622756,-0.9324304365313194
광주,2022,59.109519822867384,0.844,3.0,9.0,87.5,50.0,6.0,6.0,0.5000000000000001,0.8438068929038886,-0.3567954567699113,-0.9324304365313194
광주,2023,62.58616378207707,0.706,6.0,13.0,68.75,25.0,7.0,7.0,0.5980392156862745,1.2476335975963548,-1.3077395711652557,-0.9324304365313194
광주,2024,64.91286831643686,0.699,5.0,15.0,75.0,12.5,10.0,10.0,0.4917229618288157,1.5178900391323233,-1.3559758668229906,-0.9324304365313194
