지역,연도,당해계획예산_백만원,세부사업수,예산금액_존재_사업수,예산결측_사업수,음수예산_사업수,합계출산율,예산_QA_그룹수,예산_QA_일치건수,예산_QA_불일치건수,예산_QA_판정불가건수,예산_QA_허용초과건수,예산_QA_최대절대오차율,원자료_누락주의,전년도_합계출산율,전전년도_합계출산율,직전1년_출산율하락도
강원,2016,966330.0,251,250,1,0,1.237,6,3,3,0,0,3.04,,,,
강원,2017,1189656.0,276,276,0,0,1.123,6,0,0,6,0,,,1.237,,
강원,2018,1070709.0,77,77,0,0,1.067,3,0,0,3,0,,원자료에 자체사업 상세가 없어 세부사업 합계가 과소대표될 수 있음,1.123,1.237,0.1140000000000001
강원,2019,1610182.0,428,428,0,0,1.082,6,4,2,0,0,0.02,,1.067,1.123,0.05600000000000005
강원,2020,1479594.0,470,470,0,0,1.036,6,4,2,0,0,0.0,,1.082,1.067,-0.015000000000000124
강원,2021,1968341.0,437,437,0,0,0.979,8,8,0,0,0,0.0,,1.036,1.082,0.04600000000000004
강원,2022,1320745.8,521,521,0,0,0.968,8,7,1,0,0,0.0,,0.979,1.036,0.05700000000000005
강원,2023,2579093.0,537,537,0,0,0.893,8,5,3,0,0,0.0,,0.968,0.979,0.01100000000000001
강원,2024,2540007.0,496,496,0,0,0.889,8,8,0,0,0,0.0,,0.893,0.968,0.07499999999999996
경기,2016,4814583.0,126,124,2,0,1.194,6,6,0,0,0,0.0,,,,
경기,2017,5514545.0,123,118,5,0,1.069,6,0,0,6,0,,,1.194,,
경기,2018,7061650.0,943,879,64,0,1.002,6,0,0,6,0,,,1.069,1.194,0.125
경기,2019,8641670.0,1023,1023,0,0,0.943,6,3,2,1,0,0.0,,1.002,1.069,0.06699999999999995
경기,2020,10166623.0,1010,1003,7,0,0.878,6,3,3,0,0,0.03,,0.943,1.002,0.05900000000000005
경기,2021,10065813.95,1149,1149,0,0,0.853,8,8,0,0,0,0.0,,0.878,0.943,0.06499999999999995
경기,2022,9215575.700000001,1310,1310,0,0,0.839,8,7,1,0,0,0.0,,0.853,0.878,0.025000000000000022
경기,2023,12285412.0,1303,1303,0,0,0.766,8,5,3,0,0,0.0,,0.839,0.853,0.014000000000000012
경기,2024,13821287.0,1315,1302,13,0,0.789,8,6,2,0,0,0.0,,0.766,0.839,0.07299999999999995
경남,2016,1481184.0,319,318,1,0,1.358,6,3,3,0,0,0.03,,,,
경남,2017,1707499.3499999999,326,323,3,0,1.227,6,0,2,4,1,29.81,,1.358,,
경남,2018,1999188.0,73,73,0,0,1.122,3,0,0,3,0,,,1.227,1.358,0.131
경남,2019,2831100.0,583,583,0,0,1.046,6,2,3,1,0,0.03,,1.122,1.227,0.10499999999999998
경남,2020,1717208.36,657,651,6,0,0.945,6,3,3,0,0,0.0,,1.046,1.122,0.07600000000000007
경남,2021,3255588.1419999995,684,684,0,0,0.903,8,5,3,0,0,0.0,,0.945,1.046,0.10100000000000009
경남,2022,3325544.7,707,707,0,0,0.838,8,3,5,0,0,4.92,,0.903,0.945,0.041999999999999926
경남,2023,3893879.0,731,731,0,0,0.799,8,7,1,0,0,0.0,,0.838,0.903,0.06500000000000006
경남,2024,4041141.0,714,714,0,0,0.82,8,8,0,0,0,0.0,,0.799,0.838,0.038999999999999924
경북,2016,1659180.0,417,416,1,0,1.396,5,2,3,0,0,0.11,,,,
경북,2017,1817693.0,405,404,1,0,1.256,5,0,0,5,0,,,1.396,,
경북,2018,2487285.0,558,558,0,1,1.167,6,0,0,6,0,,,1.256,1.396,0.1399999999999999
경북,2019,2232261.0,629,629,0,0,1.089,6,3,2,1,0,0.0,,1.167,1.256,0.08899999999999997
경북,2020,2646517.0,618,618,0,0,1.003,6,4,2,0,0,0.03,,1.089,1.167,0.07800000000000007
경북,2021,3199705.6,439,439,0,0,0.966,6,4,2,0,0,4.98,,1.003,1.089,0.08600000000000008
경북,2022,3356569.7,742,739,3,0,0.93,8,7,1,0,0,0.04,,0.966,1.003,0.03699999999999992
경북,2023,3406826.0,264,264,0,0,0.86,8,7,1,0,0,0.0,,0.93,0.966,0.03599999999999992
경북,2024,4062706.0,694,694,0,0,0.897,8,8,0,0,0,0.0,,0.86,0.93,0.07000000000000006
광주,2016,1102184.9,278,278,0,0,1.168,5,1,2,2,1,100.1,,,,
광주,2017,1244520.8,284,280,4,0,1.053,5,0,0,5,0,,,1.168,,
광주,2018,3239297.3600000003,287,286,1,0,0.972,6,1,1,4,0,0.0,,1.053,1.168,0.11499999999999999
