연도,지역,대분류,중분류,구분,세부사업명,당해예산,전년도예산,증감액,증감율,출생환경_대영역,출생환경_세부영역
2016,강원,Ⅰ. 공통사업,1. 저출산 분야(공통사업),공통,보육비 지원확대,117814.0,123860.0,-6046.0,-4.9,2. 가족·생활,2-1. 돌봄 여건
2016,강원,Ⅰ. 공통사업,1. 저출산 분야(공통사업),공통,만3~5세 누리과정 확대,98756.0,109808.0,-11052.0,-10.1,2. 가족·생활,2-1. 돌봄 여건
2016,강원,Ⅰ. 공통사업,1. 저출산 분야(공통사업),공통,양육수당 지원 확대,43412.0,43186.0,226.0,0.5,2. 가족·생활,2-1. 돌봄 여건
2016,강원,Ⅰ. 공통사업,1. 저출산 분야(공통사업),공통,보육교지원 인건비 지원,60922.0,52648.0,8274.0,15.7,2. 가족·생활,2-1. 돌봄 여건
2016,강원,Ⅰ. 공통사업,1. 저출산 분야(공통사업),공통,공공형어린이집 지원,4600.0,4436.0,164.0,3.7,2. 가족·생활,2-1. 돌봄 여건
2016,강원,Ⅰ. 공통사업,1. 저출산 분야(공통사업),공통,어린이집 환경개선,930.0,928.0,2.0,0.2,2. 가족·생활,2-1. 돌봄 여건
2016,강원,Ⅰ. 공통사업,1. 저출산 분야(공통사업),공통,육아종합지원센터 운영 지원,548.0,380.0,168.0,44.2,2. 가족·생활,2-1. 돌봄 여건
2016,강원,Ⅰ. 공통사업,1. 저출산 분야(공통사업),공통,방과후과정 교육비 지원,12259.0,15471.0,-3212.0,-20.8,2. 가족·생활,2-1. 돌봄 여건
2016,강원,Ⅰ. 공통사업,1. 저출산 분야(공통사업),공통,입양가정 양육수당 지원,911.0,1131.0,-220.0,-19.5,지표체계 외,지표체계 외
2016,강원,Ⅰ. 공통사업,1. 저출산 분야(공통사업),공통,지역아동센터 확대 및 내실화,12618.0,12016.0,602.0,5.0,2. 가족·생활,2-1. 돌봄 여건
2016,강원,Ⅰ. 공통사업,1. 저출산 분야(공통사업),공통,아동통합서비스 제공,5400.0,5280.0,120.0,2.3,2. 가족·생활,2-1. 돌봄 여건
2016,강원,Ⅰ. 공통사업,1. 저출산 분야(공통사업),공통,아동발달 지원서비스 확대,2793.0,2431.0,362.0,14.9,지표체계 외,지표체계 외
2016,강원,Ⅰ. 공통사업,1. 저출산 분야(공통사업),공통,아동학대 예방 및 보호,2533.0,3375.0,-842.0,-24.9,지표체계 외,지표체계 외
